Date,Open,High,Low,Close,Adj Close,Volume
03/01/2022,298.1499939,307.1099854,297.8500061,301.2099915,300.7810669,39154700
04/01/2022,302.769989,304.6799927,283.4899902,292.8999939,292.4828491,52715400
05/01/2022,289.4899902,294.1600037,275.3299866,276.0400085,275.6468811,49806400
06/01/2022,276.3999939,284.3800049,270.6499939,281.7799988,281.3786926,45418600
07/01/2022,281.4100037,284.2200012,270.5700073,272.4700012,272.0819702,40993900
10/01/2022,265.8099976,274.6900024,256.4400024,274,273.6097717,59468100
11/01/2022,273.230011,280.6499939,268.3900146,278.1700134,277.7738647,40408900
12/01/2022,280.6700134,285.9500122,276.0799866,279.9899902,279.5912476,38341300
13/01/2022,283.7900085,284.7999878,264.980011,265.75,265.371521,54017100
14/01/2022,263,271.9700012,262.1000061,269.4200134,269.0362854,39583200
18/01/2022,262.6000061,266.3800049,257.7000122,259.0299988,258.6610413,42427000
19/01/2022,260.7900085,265.4299927,250.5200043,250.6699982,250.3130035,48831500
20/01/2022,253.0399933,255.7899933,240.7799988,241.5,241.1560974,43518100
21/01/2022,235.0700073,248.2299957,232.6300049,233.7400055,233.407135,71895800
24/01/2022,223.3000031,233.8000031,208.8800049,233.7200012,233.3871307,91398200
25/01/2022,225.4600067,229.4299927,220,223.2400055,222.9220886,66461600
26/01/2022,232.3999939,240.5700073,223,227.7200012,227.3957214,75595900
27/01/2022,235.6799927,239.9499969,216.75,219.4400024,219.1274719,57335300
28/01/2022,220.1199951,228.5800018,212.9600067,228.3999939,228.074707,54377400
31/01/2022,231.8200073,245.0899963,230.5200043,244.8600006,244.511261,56468000
01/02/2022,251.0399933,251.4499969,238.8999939,246.3800049,246.0291138,51892500
02/02/2022,257.9400024,258.1700134,245.5299988,252.4199982,252.0605011,54341900
03/02/2022,244.5800018,250.7700043,237.8000031,239.4799957,239.1389465,41017800
04/02/2022,239.7200012,246.3500061,236.3200073,243.1900024,242.8436432,35482900
07/02/2022,243.7200012,251.8200073,242.0200043,247.2799988,246.9278259,37686800
08/02/2022,243.5899963,252.3000031,239.8000031,251.0800018,250.7224274,41035900
09/02/2022,256.2200012,267.25,253.5299988,267.0499878,266.6696472,52428200
10/02/2022,259.9500122,269.25,256,258.2399902,257.8721924,51320000
11/02/2022,259.1600037,261.519989,237.7299957,239.4900055,239.1489258,60547200
